arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.068,1,1130000,B,5,1153305.534
0.865,1,1200000,S,5,1153305.534
0.987,1,1220000,S,5,1153305.534
1.332,1,1140000,B,5,1153305.534
2.485,1,1220000,S,5,1153305.534
2.775,1,1180000,S,5,1153305.534
3.34,1,1170000,B,5,1153305.534
3.847,1,1160000,S,5,1153305.534
3.986,1,1130000,S,5,1153305.534
4.593,1,1150000,S,5,1153305.534
5.725,1,1160000,S,5,1153305.534
5.904,1,1200000,S,5,1153305.534
5.956,1,1210000,B,5,1153305.534
6.279,1,1160000,B,5,1153305.534
6.568,1,1190000,S,5,1153305.534
7.903,1,1120000,B,5,1153305.534
8.092,1,1150000,S,5,1153305.534
8.881,1,1120000,B,5,1153305.534
9.293,1,1150000,S,5,1153305.534
9.512,1,1150000,B,5,1153305.534
9.623,1,1170000,S,5,1153305.534
10.589,1,1160000,S,5,1153305.534
10.624,1,1140000,B,5,1153305.534
10.979,1,1190000,S,5,1153305.534
11.313,1,1180000,S,5,1153305.534
11.697,1,1150000,S,5,1153305.534
12.295,1,1170000,B,5,1153305.534
13.731,1,1220000,S,5,1153305.534
14.911,1,1090000,B,5,1153305.534
14.951,1,1100000,B,5,1153305.534
16.307,1,1160000,B,5,1153305.534
16.916,1,1070000,B,5,1153305.534
17.129,1,1200000,S,5,1153305.534
18.828,1,1140000,S,5,1153305.534
18.981,1,1200000,S,5,1153305.534
19.297,1,1200000,S,5,1153305.534
20.048,1,1130000,B,5,1153305.534
20.843,1,1130000,B,5,1153305.534
21.045,1,1160000,S,5,1153305.534
21.426,1,1180000,B,5,1153305.534
21.822,1,1200000,S,5,1153305.534
21.857,1,1170000,S,5,1153305.534
23.693,1,1120000,B,5,1153305.534
23.974,1,1170000,B,5,1153305.534
24.051,1,1190000,S,5,1153305.534
24.245,1,1140000,B,5,1153305.534
24.825,1,1140000,B,5,1153305.534
25.086,1,1150000,S,5,1153305.534
25.357,1,1190000,B,5,1153305.534
25.395,1,1180000,B,5,1153305.534
25.467,1,1190000,S,5,1153305.534
25.65,1,1190000,S,5,1153305.534
25.979,1,1190000,S,5,1153305.534
27.114,1,1130000,S,5,1153305.534
27.169,1,1090000,B,5,1153305.534
27.715,1,1100000,B,5,1153305.534
28.087,1,1180000,S,5,1153305.534
29.237,1,1170000,S,5,1153305.534
30.295,1,1180000,S,5,1153305.534
31.232,1,1200000,S,5,1153305.534
31.305,1,1160000,S,5,1153305.534
31.405,1,1090000,B,5,1153305.534
32.151,1,1200000,S,5,1153305.534
32.232,1,1140000,S,5,1153305.534
32.355,1,1130000,S,5,1153305.534
32.787,1,1210000,S,5,1153305.534
32.819,1,1160000,S,5,1153305.534
32.988,1,1080000,B,5,1153305.534
33.544,1,1110000,B,5,1153305.534
34.069,1,1190000,S,5,1153305.534
34.531,1,1100000,B,5,1153305.534
34.888,1,1180000,S,5,1153305.534
36.721,1,1160000,S,5,1153305.534
37.316,1,1150000,B,5,1153305.534
37.785,1,1190000,S,5,1153305.534
38.058,1,1080000,B,5,1153305.534
38.153,1,1170000,S,5,1153305.534
39.077,1,1180000,S,5,1153305.534
39.206,1,1090000,B,5,1153305.534
39.567,1,1140000,B,5,1153305.534
39.753,1,1150000,B,5,1153305.534
39.91,1,1130000,B,5,1153305.534
40.32,1,1140000,S,5,1153305.534
40.7,1,1150000,S,5,1153305.534
40.722,1,1160000,B,5,1153305.534
41.31,1,1020000,S,5,1009205.439
41.393,1,1000000,S,5,1009205.439
41.504,1,1050000,S,5,1009205.439
41.716,1,1020000,B,5,1009205.439
42.204,1,990000,B,5,1009205.439
42.945,1,1000000,S,5,1009205.439
43.269,1,1020000,S,5,1009205.439
43.406,1,990000,B,5,1009205.439
43.777,1,980000,B,5,1009205.439
43.895,1,1020000,S,5,1009205.439
44.772,1,940000,B,5,1009205.439
44.96,1,990000,B,5,1009205.439
45.237,1,1020000,B,5,1009205.439
45.239,1,1050000,S,5,1009205.439
45.675,1,1070000,S,5,1009205.439
46.271,1,1010000,B,5,1009205.439
46.364,1,970000,B,5,1009205.439
46.421,1,1020000,S,5,1009205.439
46.973,1,1020000,B,5,1009205.439
47.233,1,1010000,S,5,1009205.439
47.727,1,990000,B,5,1009205.439
47.963,1,990000,S,5,1009205.439
