arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.052,1,870000,B,5,868928.951
0.107,1,890000,S,5,868928.951
0.135,1,910000,S,5,868928.951
0.156,1,960000,S,5,868928.951
0.158,1,850000,B,5,868928.951
0.21,1,920000,S,5,868928.951
0.238,1,900000,S,5,868928.951
0.24,1,870000,B,5,868928.951
0.269,1,900000,B,5,868928.951
0.347,1,870000,B,5,868928.951
0.36,1,940000,S,5,868928.951
0.414,1,860000,B,5,868928.951
0.449,1,920000,S,5,868928.951
0.642,1,850000,B,5,868928.951
0.672,1,860000,S,5,868928.951
0.705,1,890000,B,5,868928.951
0.724,1,890000,S,5,868928.951
0.803,1,840000,B,5,868928.951
0.851,0,,J,,1046274.816
0.984,1,1070000,S,5,1046274.816
1.08,1,1040000,B,5,1046274.816
1.098,1,990000,B,5,1046274.816
1.116,1,1080000,B,5,1046274.816
1.148,1,1090000,S,5,1046274.816
1.174,1,1010000,B,5,1046274.816
1.207,1,1080000,S,5,1046274.816
1.281,1,1030000,B,5,1046274.816
1.302,1,1040000,B,5,1046274.816
1.33,1,1060000,B,5,1046274.816
1.395,1,1000000,B,5,1046274.816
1.475,1,1060000,S,5,1046274.816
1.561,1,1060000,B,5,1046274.816
1.583,1,1120000,S,5,1046274.816
1.605,1,1010000,B,5,1046274.816
1.682,1,1050000,S,5,1046274.816
1.701,1,1060000,S,5,1046274.816
1.807,1,1040000,S,5,1046274.816
1.853,1,1030000,B,5,1046274.816
1.856,1,1090000,S,5,1046274.816
1.871,1,1030000,B,5,1046274.816
10.034,1,1150000,S,5,1070503.716
10.048,1,1070000,S,5,1070503.716
10.176,1,1160000,S,5,1070503.716
10.197,1,1080000,B,5,1070503.716
10.207,1,1000000,B,5,1070503.716
10.224,1,1110000,S,5,1070503.716
10.283,1,1140000,S,5,1070503.716
10.313,1,1100000,B,5,1070503.716
10.355,1,1020000,B,5,1070503.716
10.408,1,1090000,S,5,1070503.716
